 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,target_class
142.78125,48.55343987,-0.196311243,0.430258149,2.915551839,17.19751651,8.139938581000001,81.51344335,0.0
130.09375,44.80172247,-0.005380575,0.156732641,1.885451505,18.14377978,10.45982988,114.01618159999998,0.0
118.0859375,49.66009895,0.247958889,-0.380414078,3.384615385,21.35421674,7.622538405,,0.0
122.3671875,52.05013675,0.049885010999999986,-0.364750175,1.596153846,14.05584723,11.22617035,149.4115963,0.0
135.8671875,52.50303133,0.17545132,-0.429564039,2.096153846,14.8512114,9.697430407,115.4810374,0.0
112.53125,44.13950496,0.417417745,0.172598765,65.73411371,86.60540511,0.7109852640000001,-1.263896013,0.0
123.171875,46.18324733,,0.526146123,0.988294314,11.32079494,14.76318729,261.5906109,0.0
17.7578125,30.80882232,6.086458241,38.24254145,102.8294314,70.89666513,0.327265139,-0.507486595,1.0
115.34375,47.38298704,-0.115859571,0.107620564,0.561036789,9.24338977,22.8667696,570.9373762,0.0
96.578125,44.48079104,0.5765520510000001,0.7989557490000001,3.398829431,18.02874791,7.03206409,60.39062437,0.0
144.7265625,45.59651762,-0.16991578699999998,0.217840825,2.453177258,19.77905504,9.24371112,92.25708135,0.0
48.859375,32.71222401,4.292333086,22.99204784,23.60953177,52.01613021,2.531317876,6.107516099999999,1.0
141.5078125,48.82094135,-0.038178384,-0.263635284,4.87458194,,6.611639425,54.37984267,0.0
90.125,42.90341624,0.694570721,1.105027547,2.301003344,,9.050778962999999,114.2138095,0.0
81.6640625,35.21236407,0.99808516,3.460431499,2.091137124,14.60909445,9.628882739,115.6147297,0.0
124.375,52.59812259,0.262940935,-0.191775835,3.061036789,16.48234447,8.073205246,82.79963169,0.0
121.65625,48.01195123,,0.043582556,1.806856187,15.47250187,10.3302161,122.0063241,0.0
104.2578125,53.03658026,0.4130352370000001,-0.083820619,3.316889632,21.3262776,7.059217341,53.3114705,0.0
112.125,49.66387017,0.314787214,-0.0032646740000000004,1.255016722,14.1873283,12.80815126,178.5235591,0.0
120.4921875,46.62449666,0.18686242100000006,-0.01612972,1.678929766,,12.74509101,210.0526641,0.0
115.2265625,39.70540243,,0.941634404,3.100334448,,7.847605457,82.96831572,0.0
161.4921875,60.72877665,-0.905780389,-0.048035446,177.51337790000005,63.38262257,-1.5036026619999998,1.381786732,0.0
139.6640625,47.97301933,-0.058233719,0.123057192,2.280936455,16.45083903,10.12838211,121.7322717,0.0
127.578125,45.03481455,-0.096230063,0.504858218,1.781772575,14.31350026,9.990031978,121.0068935,0.0
114.15625,47.72339532,0.22032968,-0.220129922,0.7274247490000001,10.22003494,18.40638877,389.5627885,0.0
82.5,38.45370593,0.784738299,2.582399207,2.867056856,20.91146055,8.043188317,68.19100574,0.0
136.2421875,52.08162855,-0.173853371,-0.730349907,10.84531773,40.29909482,3.774310774,13.22787855,0.0
120.640625,39.97376764,0.054248069,0.507816901,4.627926421000001,24.34931525,6.2286040620000005,41.26719689,0.0
110.765625,55.34218615,0.066099851,-0.500414902,14.37959866,45.32074158,3.120461242,8.463599645,0.0
125.1171875,52.60163096,0.242858487,-0.403626809,1.048494983,10.08870305,16.6557956,360.4309041,0.0
137.265625,53.03705727,-0.201553289,-0.409392485,4.176421405,24.54781313,6.47935616,43.928392,0.0
140.9765625,57.44242564,-0.199055477,-0.5065347689999999,13.01505017,42.23346215,3.367500923,10.69252837,0.0
122.09375,50.78346149,0.01799367,-0.417075863,1.7968227419999998,13.68456238,10.42457337,,0.0
119.84375,44.7870722,0.121752316,0.253787505,6.699832776,32.61059444,5.172561838,26.92770145,0.0
106.5625,46.32826992,0.442697486,-0.12939123,93.00334448,93.02720134,0.189066148,-1.718332751,0.0
132.796875,46.46459663,-0.252660478,0.460378953,2.398829431,15.3222017,9.265324332,107.8193168,0.0
8.25,26.94351731,7.879627677999999,63.46638835,48.65468227,58.29434870000001,1.5141474330000002,1.877476401,1.0
125.40625,44.52342036,0.097844171,0.210728965,13.76003344,44.41287485,3.174269187,8.821572197,0.0
105.3046875,44.09534389,0.275058073,0.80062697,5.296822742,24.83156685,5.355939622,31.68458643,0.0
114.34375,56.42645068,0.278909787,-0.494247734,2.960702341,20.32727942,8.202080803,73.81939521,0.0
110.65625,42.94899546,0.151070318,0.695922209,0.596153846,10.76807582,22.34199033,519.4631411,0.0
38.6796875,32.4159812,4.135570584,22.43417453,98.92474916,76.2240538,-0.00027148200000000003,,1.0
100.4765625,49.29026984,0.378136704,0.011499214,2.949832776,16.15608933,8.697538316000001,98.005218,0.0
98.9296875,51.22898709,0.477782614,0.1226837,1.653846154,12.8504614,11.71426441,174.2178835,0.0
95.21875,44.01561113,0.348005399,0.375331154,2.93812709,17.4597823,8.933700491,95.2945927,0.0
116.5078125,46.41995733,0.339625815,0.349126492,2.427257525,18.07469339,9.10602065,95.16009605,0.0
134.75,53.33107092,-0.143471645,-0.298976614,5.492474916,28.28529009,5.3061613560000005,28.34152535,0.0
139.84375,44.29454635,0.132098139,-0.118660767,26.54264214,57.03226823,2.191274923,3.694816701,0.0
78.0390625,36.6683622,1.495679865,4.648232557,2.382943144,,9.493185217999999,,1.0
104.5546875,43.60006605,,1.213722795,1.486622074,,11.0141749,146.6301019,0.0
81.71875,42.62077279,,2.1677988530000003,3.02090301,20.88506686,7.624971518,62.38173527,0.0
121.1796875,42.60858071,0.19981786,0.5720962079999999,4.230769231,21.52711419,6.021439449,40.69648094,0.0
100.8359375,48.70314693,0.438520247,0.394045852,2.050167224,16.77464717,9.557190793,100.7444386,0.0
103.9453125,45.70187164,0.145095654,0.457442222,1.198160535,10.75836907,14.93401439,289.5497141,0.0
128.875,45.98250347,-0.101607044,0.045648351,2.637959866,19.0873331,8.561802685,80.09176376,0.0
107.03125,42.39120957,0.513810839,1.189648018,1.7474916390000002,15.66720534,11.21318831,140.9562157,0.0
99.4296875,37.00647823,0.559514758,1.821466571,5.204013378,29.07745712,6.022441921,36.89268893,0.0
131.65625,51.24701782,,-0.144740484,1.849498328,12.51497129,11.150694,169.75215419999995,0.0
101.90625,47.72879724,,0.61243001,5.52090301,30.74958843,6.109380372,37.74373883,0.0
52.09375,41.44205999,2.754759447,9.43325125,8.00083612,32.428349100000005,4.80555849,24.79350313,1.0
122.5234375,51.22849623,0.104359193,-0.342840162,2.240802676,13.63875334,9.935937695,133.079247,0.0
122.046875,46.60972595,,0.241957598,2.331103679,17.02464481,9.744043396,109.822632,0.0
74.4921875,36.70830885,1.115460054,3.40705721,0.45819398,9.046189062,23.07772417,581.6187764,0.0
134.8828125,49.55309985,-0.067603495,-0.160986225,2.599498328,21.84632324,8.993565101,83.17007813,0.0
133.28125,50.09942264,-0.157434458,-0.027823566,5.102842809,27.19310898,6.378455702,43.2050735,0.0
41.375,39.76532723,3.802018452,16.05622183,23.66053512,55.42796537,2.4519762430000003,5.164108328999999,1.0
109.6796875,54.31072834,0.309496873,-0.212051252,2.795150502,,8.3083263,82.37637111,0.0
140.2578125,43.54025546,-0.392195845,0.903789591,2.528428094,16.79688898,8.991679491000001,96.93193119,0.0
112.1328125,49.20324098,0.243434284,0.201982647,1.901337793,16.98391817,9.861849357999999,104.4856955,0.0
78.265625,42.30848105,1.573735534,3.974569639,8.524247492,34.89387035,4.646499866,22.48076807,1.0
119.1484375,35.37943652,0.003654879,1.574916245,2.27090301,18.57877172,9.332291773,92.98620826,0.0
118.9140625,56.14226173,0.069999984,-0.7611167759999999,43.07692308,81.73403377,1.494548956,0.450836078,0.0
89.6875,43.50211022,,0.466079669,5.973244147000001,31.32576626,5.831691247,34.73560627,0.0
140.15625,39.14624772,-0.11051747,0.909733385,2.484949833,13.76671162,9.043366195,117.2404358,0.0
111.5234375,48.87739202,0.17871872,-0.38846292,4.181438127,23.77081253,6.939440245,53.89302065,0.0
127.265625,54.62878768,0.079916055,-0.6100441320000001,5.418060201,25.24708947,5.819852554,38.96401844,0.0
123.2578125,50.05188653,0.304126517,-0.214819646,2.72909699,14.562810199999998,8.503287277,100.2495047,0.0
134.484375,41.85129635,0.012331666000000002,0.55150942,4.908026756,24.75674096,6.14371994,40.99827757,0.0
119.296875,49.19720511,0.505185057,0.300301293,10.70234114,38.19368473,3.868481344,14.86447264,0.0
136.5,50.22729587,0.025665142,-0.184648577,3.838628763,22.38530513,7.320364522999999,59.91720072,0.0
84.7734375,40.68979733,0.76343397,1.44273732,9.671404682,36.35158885,3.975498822,15.62542528,0.0
109.859375,54.43398157,0.144176245,-0.154651318,2.260033445,15.4554633,9.188510071,102.8832733,0.0
104.109375,39.32084259,0.480054564,1.451130929,4.564381271,,5.744904900000001,35.57588301,0.0
132.78125,43.54558271,-0.05606102,0.499475237,2.260869565,14.90304812,9.067125075,104.8470195,0.0
8.578125,33.61793824,5.823671052000001,33.92976076,141.31521740000005,79.27104219,-0.104045545,-1.315916032,1.0
115.4921875,52.30006514,0.145491041,-0.528232978,4.600334448,26.62747719,6.3282284760000005,41.36983811,0.0
124.015625,48.83837892,-0.059285879000000014,-0.070660374,1.689799331,13.15910851,10.91509331,154.9596918,0.0
125.96875,51.60713031,0.106987611,-0.515704012,2.594481605,,9.371371993,104.1369339,0.0
116.2265625,42.48588274,0.27369297600000003,1.259573808,5.403846154,28.59040614,5.787260302999999,34.78619146,1.0
52.171875,42.30157898,2.722891102,7.997387908999999,51.67307692,73.10242261,1.266461628,0.452375328,1.0
122.6796875,46.69480927,-0.016612078,0.29761038100000003,3.985785953,23.12458548,6.88637918,51.82665545,0.0
121.8203125,44.99885998,0.14916597199999998,0.7807870920000001,0.713210702,10.5317894,19.6561165,421.3978755,0.0
12.1171875,28.23800107,7.5250275439999985,57.17523165,123.6220736,68.76162825,0.047998738,-0.562968091,1.0
115.4765625,52.56007944,0.311830628,0.148710336,4.530100334,27.98948555,6.355796227000001,40.12980745,0.0
112.4140625,56.81391326,0.044618719,-0.48807664,1.372909699,10.00667345,15.73740134,353.2459666000001,0.0
124.5390625,54.85035072,,-0.273352798,7.4397993310000015,36.61538168,4.790491664,21.36330438,0.0
118.34375,54.27266772,0.152516619,-0.266910585,2.157190635,,10.36185742,131.1252749,0.0
